ID,PROB
65469,0.0149944852584791
65470,0.0006697429654497223
65471,0.000867144668878201
65472,0.004496001808333869
65473,0.0002694967797689865
65474,0.0010814301433977598
65475,0.0049745332697456275
65476,0.0011082398205812343
65477,0.0010752306013914917
65478,0.0014242792640881703
65479,0.0002314500869177138
65480,0.0024595293818454734
65481,0.009395260917005249
65482,0.0008601329354590236
65483,0.0006913293154834993
65484,0.0002931305517638952
65485,0.001773145274020621
65486,0.0015086768681218008
65487,0.2744608230643396
65488,0.0007851835333559602
65489,0.0017428755240567466
65490,0.004559938889787968
65491,0.0004405046314111118
65492,0.00039544275937506085
65493,0.003313934929785035
65494,0.006030045983213627
65495,0.554281179253454
65496,0.0006410494026873175
65497,0.0037681269768888494
65498,0.011264486782064763
65499,0.00041840323460204734
65500,0.0924092816850647
65501,0.0014589414159464045
65502,0.005050998173625129
65503,0.00273984875607412
65504,0.07805120620139479
65505,0.3144004246656453
65506,0.003247791419236445
65507,0.0018155527834353483
65508,0.01724438178038887
65509,0.004208395273194774
65510,0.0008233026649035604
65511,0.04456640472870065
65512,0.001566219601835831
65513,0.02883462291327365
65514,0.0002851689650003191
65515,0.011082212088645495
65516,0.002652553540290739
65517,0.035746663271359724
65518,0.0006201606696170822
65519,0.00041052005359842067
65520,0.00478975492991367
65521,0.0034567926703539965
65522,0.594408279499588
65523,0.0002345308557319144
65524,0.0023889838025571986
65525,0.0009100547713728102
65526,0.0011142869107713348
65527,0.0021840094616364966
65528,0.0010482313854889552
65529,0.0037781053250122492
65530,0.07391029197577424
65531,0.0012901101205109197
65532,0.02095042273019341
65533,0.0054601971551578995
65534,0.0011501437014290814
65535,0.006507081084663826
65536,0.0008229721796917738
65537,0.000700526237421258
65538,0.0012278419618309598
65539,0.06271258236548087
65540,0.001107588505964241
65541,0.004783816309849176
65542,0.0013562395244019123
65543,0.0033095639924844954
65544,0.0024895987536746197
65545,0.0022846281302892294
65546,0.0005801775755701026
65547,0.0011301038784608448
65548,0.0009782631437416304
65549,0.0004743774729780394
65550,0.0010105594178338598
65551,0.0007944754073367313
65552,0.0014554754467546302
65553,0.009908020621955657
65554,0.0001396554339521191
65555,0.0005500689138767755
65556,0.001374397470110132
65557,0.03390088483308636
65558,0.002792131075130293
65559,0.0010414760820032197
65560,0.0017358442443096193
65561,0.07489575030173443
65562,0.0008394633520221687
65563,0.0006422989055193393
65564,0.0007469464372592767
